tipo;metrica_train;dataset;parametro;hora_inicio;hora_fim;hora_fim_p;TP;TN;FP;FN;normais;anomalas;metrica;valor
xgb;ROC;Original;{'n_estimators': 45, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 5};Thu, 12 Aug 2021 10:45:37;Thu, 12 Aug 2021 10:45:54;Thu, 12 Aug 2021 10:45:54;11458;1883;1096;371;11829;2979;ROC;0.8003638539350225
rdf;Acurácia;Original;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.0001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:45:55;Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:49:05;11376;1918;1061;453;11829;2979;Acurácia;0.8977579686655862
rdf;Acurácia;Original;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.0001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:45:55;Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:49:05;11376;1918;1061;453;11829;2979;Precisão;0.914690037790464
rdf;Acurácia;Original;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.0001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:45:55;Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:49:05;11376;1918;1061;453;11829;2979;Recall;0.9617042860765914
rdf;Acurácia;Original;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.0001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:45:55;Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:49:05;11376;1918;1061;453;11829;2979;F1;0.9376081760487927
rdf;Acurácia;Original;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.0001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:45:55;Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:49:05;11376;1918;1061;453;11829;2979;MCC;0.6619599857029231
rdf;Acurácia;Original;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.0001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:45:55;Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:49:05;11376;1918;1061;453;11829;2979;ROC;0.8027722504568925
rdf;Precisão;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:51:16;Thu, 12 Aug 2021 10:51:16;10228;2378;601;1601;11829;2979;Acurácia;0.8512965964343598
rdf;Precisão;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:51:16;Thu, 12 Aug 2021 10:51:16;10228;2378;601;1601;11829;2979;Precisão;0.9445008772739866
rdf;Precisão;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:51:16;Thu, 12 Aug 2021 10:51:16;10228;2378;601;1601;11829;2979;Recall;0.8646546622706907
rdf;Precisão;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:51:16;Thu, 12 Aug 2021 10:51:16;10228;2378;601;1601;11829;2979;F1;0.9028157825050755
rdf;Precisão;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:51:16;Thu, 12 Aug 2021 10:51:16;10228;2378;601;1601;11829;2979;MCC;0.5994902282546474
rdf;Precisão;Original;{'n_estimators': 400, 'min_samples_split': 7, 'min_impurity_decrease': 0.001, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:49:05;Thu, 12 Aug 2021 10:51:16;Thu, 12 Aug 2021 10:51:16;10228;2378;601;1601;11829;2979;ROC;0.8314545550359831
rdf;Recall;Original;{'n_estimators': 400, 'min_samples_split': 2, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:17;Thu, 12 Aug 2021 10:51:53;Thu, 12 Aug 2021 10:51:54;11597;1539;1440;232;11829;2979;Acurácia;0.8870880605078336
rdf;Recall;Original;{'n_estimators': 400, 'min_samples_split': 2, 'min_impurity_decrease': 1e-05, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy'};Thu, 12 Aug 2021 10:51:17;Thu, 12 Aug 2021 10:51:53;Thu, 12 Aug 2021 10:51:54;11597;1539;1440;232;11829;2979;Precisão;0.8895451407532408
