tipo;nome;dataset;alg;par;hora_inicio;hora_fim;param;metrica;mean_train;std_train;mean_test;std_test;rank_test
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 300, 'min_samples_split': 2, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'};Acurácia;0.8150651230101303;0.0009327283961981084;0.8068306801736613;0.004515937450614653;90
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 300, 'min_samples_split': 2, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'};Precisão;0.946421402993559;0.0006866887289947211;0.9395370926459528;0.0038633519503959374;21
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 300, 'min_samples_split': 2, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'};Recall;0.8152264221365935;0.0016084751942088895;0.8110162300501293;0.007223804431857992;91
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 300, 'min_samples_split': 2, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'};F1;0.8759372782260153;0.0007512639007049193;0.8705289684558801;0.0035325535296245945;91
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 300, 'min_samples_split': 2, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'};MCC;0.543625979548921;0.0014105633146843121;0.5196787671017713;0.009355828602999348;90
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 300, 'min_samples_split': 2, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy'};ROC;0.8148214836745954;0.0009281284953115692;0.8005083050235446;0.006060720902018927;43
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy'};Acurácia;0.8162662807525326;0.001515672848715712;0.8072069464544139;0.0044165255132185294;88
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy'};Precisão;0.9468505968504257;0.00040431042306481637;0.9397165915433874;0.0037003010170538492;19
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy'};Recall;0.8164010157468352;0.00213737074419911;0.8113415247255503;0.007280593623073864;88
rdf;Random Forest Classifier;Original;"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)";{'n_estimators': [300, 400], 'max_depth': [20, 30, 40], 'min_samples_split': [2, 5, 7], 'criterion': ['gini', 'entropy'], 'max_features': [None, 'auto'], 'min_impurity_decrease': [1e-05, 0.0001, 0.001]};Mon, 09 Aug 2021 20:22:45;Tue, 10 Aug 2021 03:15:46;{'n_estimators': 400, 'min_samples_split': 5, 'min_impurity_decrease': 0.001, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy'};F1;0.8767985830230474;0.0011702964385878788;0.8707931376090828;0.0034912690533235985;88
