nr_municipio;nb_municipio;latitude_municipio;longitude_municipio;cd_municipio_ibge;ae_municipio
460.0;Gurupá - PA;-1.405;-51.64;1503101;8540.113
488.0;Melgaço - PA;-1.804;-50.712;1504505;6774.018
514.0;Portel - PA;-1.936;-50.821;1505809;25384.96
552.0;São Sebastião da Boa Vista - PA;-1.718;-49.541;1507706;1632.251
554.0;Senador José Porfírio - PA;-2.591;-51.954;1507805;14419.916
592.0;Pacajá - PA;-3.838;-50.638;1505486;11832.333
40.0;Anapu - PA;-3.472;-51.198;1500859;11895.506
438.0;Cachoeira do Arari - PA;-1.011;-48.963;1502004;3100.261
448.0;Chaves - PA;-0.16;-49.988;1502509;13084.957
496.0;Muaná - PA;-1.528;-49.217;1504901;3765.55
512.0;Ponta de Pedras - PA;-1.3900000000000001;-48.871;1505700;3365.148
524.0;Salvaterra - PA;-0.753;-48.517;1506302;1039.072
526.0;Santa Cruz do Arari - PA;-0.664;-49.163;1506401;1076.652
556.0;Soure - PA;-0.717;-48.523;1507904;3517.318
400.0;Abaetetuba - PA;-1.718;-48.883;1500107;1610.606
420.0;Bagre - PA;-1.9;-50.164;1501105;4397.321
422.0;Baião - PA;-2.791;-49.672;1501204;3758.297
424.0;Barcarena - PA;-1.506;-48.626;1501303;1310.336
440.0;Cametá - PA;-2.2439999999999998;-49.496;1502103;3081.367
464.0;Igarapé-Miri - PA;-1.975;-48.96;1503309;1996.843
478.0;Limoeiro do Ajuru - PA;-1.895;-49.381;1504000;1490.186
490.0;Mocajuba - PA;-2.584;-49.507;1504604;870.809
492.0;Moju - PA;-1.884;-48.769;1504703;9094.135
502.0;Oeiras do Pará - PA;-2.003;-49.854;1505205;3852.291
472.0;Itupiranga - PA;-5.135;-49.327;1503705;7880.107
474.0;Jacundá - PA;-4.451;-49.116;1503804;2008.315
482.0;Marabá - PA;-5.369;-49.118;1504208;15128.416
548.0;São João do Araguaia - PA;-5.358;-48.791;1507508;1279.889
560.0;Tucuruí - PA;-3.768;-49.673;1508100;2086.189
594.0;Parauapebas - PA;-6.068;-49.902;1505536;6886.208
580.0;Curionópolis - PA;-6.091;-49.541;1502772;2368.743
576.0;Brejo Grande do Araguaia - PA;-5.699;-48.413;1501758;1288.477
574.0;Bom Jesus do Tocantins - PA;-5.051;-48.609;1501576;2816.479
378.0;Palestina do Pará - PA;-5.742;-48.317;1505494;984.362
376.0;Eldorado dos Carajás - PA;-6.104;-49.355;1502954;2956.734
382.0;Água Azul do Norte - PA;-6.791;-50.467;1500347;7113.961
628.0;Novo Repartimento - PA;-4.331;-49.796;1505064;15398.714
380.0;São Domingos do Araguaia - PA;-5.538;-48.733;1507151;1392.464
374.0;Abel Figueiredo - PA;-4.954;-48.393;1500131;614.271
624.0;Breu Branco - PA;-4.009;-49.461;1501782;3941.938
48.0;Canaã dos Carajás - PA;-6.497;-49.878;1502152;3146.407
452.0;Conceição do Araguaia - PA;-8.258;-49.265;1502707;5829.482
532.0;Santana do Araguaia - PA;-9.505;-50.625;1506708;11591.563
566.0;Redenção - PA;-8.029;-50.031;1506138;3823.809
568.0;Rio Maria - PA;-7.311;-50.048;1506161;4114.61
570.0;Xinguara - PA;-7.095;-49.946;1508407;3779.359
598.0;Santa Maria das Barreiras - PA;-8.855;-49.722;1506583;10330.214
618.0;São Geraldo do Araguaia - PA;-6.401;-48.555;1507458;3168.383
386.0;Pau d'Arco - PA;-7.833;-50.044;1505551;1671.419
66.0;Sapucaia - PA;-6.947;-49.682;1507755;1298.19
52.0;Floresta do Araguaia - PA;-7.554;-49.713;1503044;3444.285
58.0;Piçarra - PA;-6.438;-48.872;1505635;3312.661
402.0;Acará - PA;-1.9609999999999999;-48.197;1500206;4343.805
558.0;Tomé-Açu - PA;-2.419;-48.152;1508001;5145.361
394.0;Tailândia - PA;-2.947;-48.953;1507953;4430.222
436.0;Bujaru - PA;-1.5150000000000001;-48.045;1501907;1005.168
444.0;Capitão Poço - PA;-1.745;-47.065;1502301;2899.553
468.0;Irituia - PA;-1.7690000000000001;-47.439;1503507;1379.362
506.0;Ourém - PA;-1.548;-47.119;1505403;562.387
508.0;Paragominas - PA;-2.995;-47.353;1505502;19342.254
542.0;São Domingos do Capim - PA;-1.675;-47.775;1507201;1677.249
572.0;Rondon do Pará - PA;-4.776;-48.067;1506187;8246.439
578.0;Concórdia do Pará - PA;-1.991;-47.949;1502756;690.947
586.0;Mãe do Rio - PA;-2.06;-47.553;1504059;469.492
584.0;Garrafão do Norte - PA;-1.9340000000000002;-47.053;1503077;1599.028
582.0;Dom Eliseu - PA;-4.285;-47.505;1502939;5268.815
620.0;Ipixuna do Pará - PA;-2.558;-47.494;1503457;5215.555
622.0;Ulianópolis - PA;-3.7560000000000002;-47.501;1508126;5088.468
388.0;Aurora do Pará - PA;-2.134;-47.563;1500958;1811.84
626.0;Goianésia do Pará - PA;-3.843;-49.097;1503093;7023.914
450.0;Colares - PA;-0.937;-48.282;1502608;609.792
456.0;Curuçá - PA;-0.734;-47.855;1502905;672.675
480.0;Magalhães Barata - PA;-0.795;-47.598;1504109;325.265
484.0;Maracanã - PA;-0.765;-47.45;1504307;855.664
486.0;Marapanim - PA;-0.714;-47.694;1504406;795.987
520.0;Primavera - PA;-0.943;-47.116;1506104;258.6
522.0;Salinópolis - PA;-0.629;-47.356;1506203;237.738
536.0;Santarém Novo - PA;-0.929;-47.397;1506906;229.51
538.0;Santo Antônio do Tauá - PA;-1.152;-48.129;1507003;537.625
540.0;São Caetano de Odivelas - PA;-0.75;-48.02;1507102;743.466
562.0;Vigia - PA;-0.858;-48.142;1508209;539.079
392.0;São João de Pirabas - PA;-0.769;-47.174;1507474;705.542
372.0;Terra Alta - PA;-1.038;-47.908;1507961;206.414
62.0;Quatipuru - PA;-0.901;-47.006;1506112;326.113
64.0;São João da Ponta - PA;-0.85;-47.92;1507466;195.918
416.0;Augusto Corrêa - PA;-1.022;-46.645;1500909;1091.541
430.0;Bonito - PA;-1.363;-47.307;1501600;586.737
432.0;Bragança - PA;-1.063;-46.773;1501709;2091.93
442.0;Capanema - PA;-1.196;-47.181;1502202;614.693
446.0;Castanhal - PA;-1.297;-47.922;1502400;1028.889
462.0;Igarapé-Açu - PA;-1.127;-47.618;1503200;785.983
466.0;Inhangapi - PA;-1.43;-47.917;1503408;471.449
498.0;Nova Timboteua - PA;-1.206;-47.386;1505007;489.852
510.0;Peixe-Boi - PA;-1.192;-47.314;1505601;450.222
528.0;Santa Isabel do Pará - PA;-1.299;-48.161;1506500;717.662
530.0;Santa Maria do Pará - PA;-1.3519999999999999;-47.576;1506609;457.725
546.0;São Francisco do Pará - PA;-1.169;-47.795;1507409;479.564
550.0;São Miguel do Guamá - PA;-1.627;-47.483;1507607;1110.175
68.0;Tracuateua - PA;-1.072;-46.897;1508035;934.272
414.0;Ananindeua - PA;-1.366;-48.372;1500800;190.503
426.0;Belém - PA;-1.456;-48.504;1501402;1059.406
428.0;Benevides - PA;-1.361;-48.245;1501501;187.826
368.0;Santa Bárbara do Pará - PA;-1.224;-48.294;1506351;278.154
54.0;Marituba - PA;-1.355;-48.342;1504422;103.343
564.0;Viseu - PA;-1.197;-46.14;1508308;4915.073
390.0;Nova Esperança do Piriá - PA;-2.269;-46.966;1504950;2809.312
370.0;Santa Luzia do Pará - PA;-1.517;-46.942;1506559;1356.124
46.0;Cachoeira do Piriá - PA;-1.671;-46.529;1501956;2461.972
604.0;Macapá - AP;0.039;-51.066;1600303;6408.545
606.0;Mazagão - AP;-0.115;-51.289;1600402;13130.983
610.0;Ferreira Gomes - AP;0.858;-51.18;1600238;5046.258
614.0;Santana - AP;-0.058;-51.182;1600600;1579.608
612.0;Laranjal do Jari - AP;-0.842;-52.516;1600279;30971.898
662.0;Pedra Branca do Amapari - AP;0.778;-51.944;1600154;9495.519
666.0;Cutias - AP;0.986;-50.802;1600212;2114.247
